filename,label,composer,work,accompaniment
bach_suite_cello_2_minuet_1_2.mp4,baroque,Bach,Cello Suite No. 2 Minuet I and II,solo
bach_suite_cello_2_prelude.mp4,baroque,Bach,Cello Suite No. 2 Prelude,solo
bach_suite_cello_2_sarabande.mp4,baroque,Bach,Cello Suite No. 2 Sarabande,solo
bach_suite_cello_6_prelude.mp4,baroque,Bach,Cello Suite No. 6 Prelude,solo
beethoven_sonata3_1mov.mp4,classical,Beethoven,Cello Sonata No. 3 First Movement,piano
haydn_concerto2_1.mp4,classical,Haydn,Cello Concerto No. 2 First Movement,piano
schubert_arpeggione_sonata.mp4,classical,Schubert,Arpeggione Sonata,piano
franck_sonata_3_4.mp4,romantic,Franck,Sonata in A Major arranged for cello Third and Fourth Movements,piano
les_larmes_de_jacqueline_offenbach.mp4,romantic,Offenbach,Les Larmes de Jacqueline,piano
schumann_adagio_allegro.mp4,romantic,Schumann,Adagio and Allegro for Cello and Piano,piano
schumann_fantasy_piece.mp4,romantic,Schumann,Fantasiestucke,piano
schumann_five_folksongs.mp4,romantic,Schumann,Five Pieces in Folk Style,piano
tchaikovsky_pezzo_capriccioso.mp4,romantic,Tchaikovsky,Pezzo Capriccioso,piano
